# Filename: areasAnalysis_salinity0m_en.dat
# Creation date: 2024-01-31 15:27:56.374985
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Scotian Shelf
# Variable: Practical Salinity
# Depth: 0m
# Boundary longitude: -65.55,-66.1,-67,-66.62,-66.52,-65.6,-65.61,-64.97,-64.25,-63.75,-63.25,-61.73,-61.31,-61.16,-60.93,-60.93,-59.825,-59.03,-58.5,-58.2,-57.6,-57.06,-58.88,-58.97,-61,-61.82,-62.2,-62.77,-63.85,-64.23,-64.95,-65.55
# Boundary latitude: 42.13,42.56,42.79,42.88,43.1,43.16,43.4,43.71,44.061,44.3058,44.55,45.02,45.2316,45.18,45.25,45.36,45.989,46.38,46.02,45.82,45.12,44.45,43.91,43.9,43.3,43.01,42.96,42.91,42.79,42.73,42.42,42.13
# Slope: -0.004344
# Slope unit: ^ year -1
# Climatological mean: 31.17
# Climatological standard deviation: 0.23
# Climatological reference years: 1991 to 2020
year,anomaly,anomalyStandardDeviation,numberOfRegions
1948, 0.06,0.2, 8
1949, 0.66,0.5,10
1950, 0.75,0.5,12
1951, 0.04,0.3,14
1952,-0.15,0.3,12
1953, 0.10,0.3,14
1954, 0.24,0.2,16
1955,-0.13,0.4,12
1956, 0.55,0.2,12
1957,-0.22,0.2, 4
1958, 0.27,0.2, 7
1959, 0.15,0.3,16
1960, 0.54,0.5,16
1961, 0.18,0.1, 5
1962, 0.12,0.2,11
1963, 0.25,0.2, 9
1964, 0.33,0.2, 7
1965, 0.23,0.2,11
1966, 0.27,0.4,10
1967, 0.16,0.3,16
1968, 0.34,0.2,11
1969, 0.46,0.4,18
1970, 0.27,0.5,19
1971,-0.10,0.2,18
1972, 0.23,0.3,19
1973, 0.04,0.4,17
1974, 0.58,0.2,19
1975, 0.21,0.3,18
1976, 0.21,0.4,17
1977, 0.26,0.4,20
1978,-0.05,0.3,20
1979, 0.19,0.4,20
1980, 0.34,0.2,20
1981, 0.11,0.3,20
1982, 0.36,0.3,20
1983,-0.05,0.3,20
1984,-0.13,0.3,20
1985, 0.37,0.4,20
1986, 0.09,0.3,19
1987, 0.35,0.2,18
1988, 0.08,0.3,19
1989, 0.44,0.3,15
1990, 0.52,0.2,20
1991,-0.10,0.3,19
1992, 0.09,0.2,20
1993, 0.07,0.2,20
1994,-0.24,0.2,20
1995,-0.01,0.2,20
1996, 0.13,0.3,20
1997,-0.29,0.3,20
1998,-0.45,0.3,20
1999,-0.02,0.3,20
2000, 0.12,0.3,20
2001, 0.12,0.2,20
2002, 0.11,0.2,20
2003,-0.32,0.5,20
2004, 0.19,0.3,20
2005,-0.03,0.2,20
2006,-0.02,0.2,20
2007, 0.09,0.2,20
2008, 0.04,0.3,19
2009, 0.12,0.2,20
2010, 0.08,0.2,20
2011,-0.02,0.3,20
2012,-0.04,0.3,20
2013,-0.10,0.2,20
2014, 0.28,0.4,18
2015, 0.15,0.3,20
2016,-0.14,0.3,20
2017,-0.04,0.2,20
2018, 0.06,0.4,17
2019,-0.15,0.2,20
2020, 0.18,0.2,20
2021,-0.09,0.3,13
2022,-0.08,0.3,18
2023,-0.04,0.5,20
