# Filename: areasAnalysis_temperature0m_en.dat
# Creation date: 2024-01-31 15:27:51.24817
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Scotian Shelf
# Variable: Temperature
# Depth: 0m
# Boundary longitude: -65.55,-66.1,-67,-66.62,-66.52,-65.6,-65.61,-64.97,-64.25,-63.75,-63.25,-61.73,-61.31,-61.16,-60.93,-60.93,-59.825,-59.03,-58.5,-58.2,-57.6,-57.06,-58.88,-58.97,-61,-61.82,-62.2,-62.77,-63.85,-64.23,-64.95,-65.55
# Boundary latitude: 42.13,42.56,42.79,42.88,43.1,43.16,43.4,43.71,44.061,44.3058,44.55,45.02,45.2316,45.18,45.25,45.36,45.989,46.38,46.02,45.82,45.12,44.45,43.91,43.9,43.3,43.01,42.96,42.91,42.79,42.73,42.42,42.13
# Slope: 0.018055
# Slope unit:  degree C year^-1
# Climatological mean: 8.32
# Climatological standard deviation: 0.86
# Climatological reference years: 1991 to 2020
year,anomaly,anomalyStandardDeviation,numberOfRegions
1948,-1.87,0.3, 8
1949, 0.65,0.8,10
1950,-0.17,1.0,12
1951, 1.23,0.6,14
1952, 0.59,0.8,12
1953, 0.57,0.8,14
1954,-0.95,0.9,16
1955,-0.69,0.4,12
1956,-0.53,0.6,12
1957, 0.50,0.8, 4
1958,-1.04,2.0, 7
1959,-0.43,1.3,16
1960,-1.18,1.1,16
1961,-1.24,1.0, 5
1962,-0.88,1.1,11
1963,-0.23,1.2, 9
1964,-1.83,0.4, 7
1965,-1.56,0.4,11
1966,-1.03,1.2,10
1967,-1.07,1.1,16
1968,-0.96,0.7,11
1969,-0.10,1.7,18
1970,-0.02,0.7,19
1971,-0.72,0.7,18
1972,-0.06,0.7,19
1973,-0.77,0.7,17
1974,-0.61,0.8,19
1975,-0.88,1.1,18
1976,-0.49,1.3,17
1977,-0.01,1.0,20
1978,-0.39,0.6,20
1979, 0.07,0.4,20
1980,-0.83,0.6,20
1981,-0.08,0.5,20
1982,-0.53,0.6,20
1983, 1.02,0.6,20
1984,-0.09,0.8,20
1985,-2.07,1.2,20
1986,-1.03,0.5,19
1987,-0.06,1.1,18
1988,-0.58,0.7,19
1989,-0.29,0.7,15
1990,-0.80,1.1,20
1991,-0.50,0.4,19
1992,-0.86,0.8,20
1993,-0.74,0.6,20
1994,-0.16,0.7,20
1995,-0.28,0.7,20
1996,-0.84,0.6,20
1997,-0.87,0.5,20
1998,-0.05,0.7,20
1999, 0.93,0.5,20
2000, 1.10,0.6,20
2001,-0.09,0.9,20
2002,-0.28,0.9,20
2003,-0.49,0.9,20
2004,-0.99,0.7,20
2005, 0.10,0.8,20
2006, 0.78,0.4,20
2007,-0.69,0.6,20
2008, 0.22,0.6,19
2009, 0.13,0.3,20
2010, 1.82,0.7,20
2011,-0.62,1.0,20
2012, 2.02,0.8,20
2013, 0.92,0.7,20
2014, 1.22,1.2,18
2015, 0.51,1.2,20
2016, 1.06,0.7,20
2017, 0.82,0.6,20
2018, 0.58,1.0,17
2019,-0.10,0.7,20
2020, 0.60,0.7,20
2021, 0.69,1.5,13
2022, 0.59,0.9,18
2023, 1.85,1.0,20
